name,area_slug,lat,lng,address,categories,food_type,serves_alcohol,last_call,has_shisha,service_modes,hours_json,price_band,phone,notes
Bademiya,fort-colaba,18.9226,72.8322,"Tulloch Road, behind Taj Mahal Hotel, Colaba",street_food|rolls_kebabs|mughlai|late_night,nonveg,false,,false,takeaway|dine_in,"{""mon"":[{""open"":""19:00"",""close"":""04:00""}],""tue"":[{""open"":""19:00"",""close"":""04:00""}],""wed"":[{""open"":""19:00"",""close"":""04:00""}],""thu"":[{""open"":""19:00"",""close"":""04:00""}],""fri"":[{""open"":""19:00"",""close"":""04:00""}],""sat"":[{""open"":""19:00"",""close"":""04:00""}],""sun"":[{""open"":""19:00"",""close"":""04:00""}]}",2,,The Colaba seekh roll bench. Busiest after 1 AM — expect to stand.
Ayub's,fort-colaba,18.9345,72.8362,"Rope Walk Lane, Kala Ghoda, Fort",street_food|rolls_kebabs|late_night,nonveg,false,,false,takeaway,"{""mon"":[{""open"":""19:00"",""close"":""01:30""}],""tue"":[{""open"":""19:00"",""close"":""01:30""}],""wed"":[{""open"":""19:00"",""close"":""01:30""}],""thu"":[{""open"":""19:00"",""close"":""01:30""}],""fri"":[{""open"":""19:00"",""close"":""01:30""}],""sat"":[{""open"":""19:00"",""close"":""01:30""}],""sun"":[]}",1,,Kala Ghoda institution. Chicken shawarma roll is the order.
Sardar Pav Bhaji,byculla-mumbai-central,18.9712,72.8175,"Tardeo Road, opposite Tardeo AC Market",restaurant|pav_bhaji|late_night,veg,false,,false,dine_in|takeaway,"{""mon"":[{""open"":""12:00"",""close"":""01:30""}],""tue"":[{""open"":""12:00"",""close"":""01:30""}],""wed"":[{""open"":""12:00"",""close"":""01:30""}],""thu"":[{""open"":""12:00"",""close"":""01:30""}],""fri"":[{""open"":""12:00"",""close"":""01:30""}],""sat"":[{""open"":""12:00"",""close"":""01:30""}],""sun"":[{""open"":""12:00"",""close"":""01:30""}]}",2,,Extra butter is not optional. Queue moves faster than it looks.
Olympia Coffee House,fort-colaba,18.9218,72.8318,"Rahim Mansion, Colaba Causeway",restaurant|mughlai|chai_coffee,nonveg,false,,false,dine_in,"{""mon"":[{""open"":""07:00"",""close"":""00:00""}],""tue"":[{""open"":""07:00"",""close"":""00:00""}],""wed"":[{""open"":""07:00"",""close"":""00:00""}],""thu"":[{""open"":""07:00"",""close"":""00:00""}],""fri"":[{""open"":""07:00"",""close"":""00:00""}],""sat"":[{""open"":""07:00"",""close"":""00:00""}],""sun"":[{""open"":""07:00"",""close"":""00:00""}]}",1,,"Irani-style, wood panelling, keema pav. Closes right at midnight — check before you set out."
Noor Mohammadi Hotel,byculla-mumbai-central,18.9615,72.8288,"Abdul Hakim Chowk, Bhendi Bazaar",restaurant|mughlai|biryani|late_night,nonveg,false,,false,dine_in|takeaway,"{""mon"":[{""open"":""07:00"",""close"":""01:00""}],""tue"":[{""open"":""07:00"",""close"":""01:00""}],""wed"":[{""open"":""07:00"",""close"":""01:00""}],""thu"":[{""open"":""07:00"",""close"":""01:00""}],""fri"":[{""open"":""07:00"",""close"":""01:00""}],""sat"":[{""open"":""07:00"",""close"":""01:00""}],""sun"":[{""open"":""07:00"",""close"":""01:00""}]}",2,,Chicken sanju baba. Whole area stays up much later through Ramzan.
Bharat Excellensea,fort-colaba,18.9395,72.8365,"Bharat House, Mumbai Samachar Marg, Fort",restaurant|seafood,nonveg,true,,false,dine_in,"{""mon"":[{""open"":""12:00"",""close"":""00:30""}],""tue"":[{""open"":""12:00"",""close"":""00:30""}],""wed"":[{""open"":""12:00"",""close"":""00:30""}],""thu"":[{""open"":""12:00"",""close"":""00:30""}],""fri"":[{""open"":""12:00"",""close"":""00:30""}],""sat"":[{""open"":""12:00"",""close"":""00:30""}],""sun"":[{""open"":""12:00"",""close"":""00:30""}]}",3,,"Butter garlic crab, late enough to count."
Cafe Universal,fort-colaba,18.9345,72.8352,"299 Shahid Bhagat Singh Road, Fort",cafe|bar|chai_coffee,both,true,00:30,false,dine_in,"{""mon"":[{""open"":""11:00"",""close"":""01:00""}],""tue"":[{""open"":""11:00"",""close"":""01:00""}],""wed"":[{""open"":""11:00"",""close"":""01:00""}],""thu"":[{""open"":""11:00"",""close"":""01:00""}],""fri"":[{""open"":""11:00"",""close"":""01:00""}],""sat"":[{""open"":""11:00"",""close"":""01:00""}],""sun"":[]}",2,,Old-Bombay bar-café near VT. Last call is well before closing.
Gomantak,mahim-dadar,19.0176,72.8442,"Dadar West, near Kabutarkhana",restaurant|seafood|late_night,nonveg,false,,false,dine_in,"{""mon"":[{""open"":""11:00"",""close"":""01:00""}],""tue"":[{""open"":""11:00"",""close"":""01:00""}],""wed"":[{""open"":""11:00"",""close"":""01:00""}],""thu"":[{""open"":""11:00"",""close"":""01:00""}],""fri"":[{""open"":""11:00"",""close"":""01:00""}],""sat"":[{""open"":""11:00"",""close"":""01:00""}],""sun"":[{""open"":""11:00"",""close"":""01:00""}]}",1,,"Malvani thali, no frills, cheap and fast."
Lucky Restaurant,bandra,19.0544,72.8402,"SV Road, opposite Bandra station",restaurant|biryani|mughlai|late_night,nonveg,false,,false,dine_in|takeaway,"{""mon"":[{""open"":""06:00"",""close"":""02:00""}],""tue"":[{""open"":""06:00"",""close"":""02:00""}],""wed"":[{""open"":""06:00"",""close"":""02:00""}],""thu"":[{""open"":""06:00"",""close"":""02:00""}],""fri"":[{""open"":""06:00"",""close"":""02:00""}],""sat"":[{""open"":""06:00"",""close"":""02:00""}],""sun"":[{""open"":""06:00"",""close"":""02:00""}]}",2,,"The Bandra station landmark. Biryani after midnight, right by the skywalk."
Jai Hind Lunch Home,vile-parle-juhu,19.0994,72.8395,"Vile Parle East, near the station",restaurant|seafood|north_indian,nonveg,true,,false,dine_in,"{""mon"":[{""open"":""11:00"",""close"":""01:30""}],""tue"":[{""open"":""11:00"",""close"":""01:30""}],""wed"":[{""open"":""11:00"",""close"":""01:30""}],""thu"":[{""open"":""11:00"",""close"":""01:30""}],""fri"":[{""open"":""11:00"",""close"":""01:30""}],""sat"":[{""open"":""11:00"",""close"":""01:30""}],""sun"":[{""open"":""11:00"",""close"":""01:30""}]}",2,,Suburban late dinner staple. Gets loud after midnight on weekends.
